blas	Time depth0	Time depth0-relaxed	Time depth1	Time depth1-relaxed	Time depth2	general total time	holing total time (list bound 2)	holing total time (list bound 4)	bounded speedup
dot	2.112s	3.493s	timeout			timeout	2.115	1.379	0.6520094563
gemv	37.425s	1m8.672s	timeout			timeout	10.207	168.337	16.4923092


ger									#DIV/0!
average							6.161		0
median							6.161

darknet									#DIV/0!
gemm_nn									#DIV/0!
gemm_nt									#DIV/0!
gemm_tn									#DIV/0!
gemm_tt									#DIV/0!
mag_array	2.657s	2.544s	timeout			timeout	1.561	1.674	1.072389494
matrix_add_matrix	15.149s	21.368s	timeout			timeout	13.115	297.956	22.71871902
mse_array	2.436s	2.548s	timeout			timeout	1.524	2.107	1.382545932
mult_add_into_cpu	1.789s	1.856s	1m11.042s	2m27.168s	timeout	timeout	3.086	4.603	1.491574854
ol_l2_cpu1	1.716s	1.811s	1m29.491s	1m54.357s	timeout	timeout	2.467	3.572	1.447912444
ol_l2_cpu2	1.950s	2.234s	timeout			timeout	1.859	2.296	1.23507262


scale_array	1.926s	2.099s	2m45.703s			169.728	1.602	1.588	0.9912609238
scale_matrix	24.164s	27.160s	timeout			timeout	4.023	46.424	11.53964703
sum_array	2.768s					2.768	1.432	1.673	1.168296089
translate_array	2.229s	2.007s	2m59.232s			183.468	1.616	1.371	0.8483910891
average							3.2285		0
median							1.859

dsp									#DIV/0!
matadd	41.182s	15.024s	timeout			timeout	22.736	367.145	16.1481791


matinit									#DIV/0!
matmul									#DIV/0!
matscal	14.131s	46.938s	timeout			timeout	5.439	79.246	14.56995771
matsub	20.036s	15.149s	timeout			timeout	23.791	248.448	10.44294061
vadd	2.069s	2.328s	1m3.218s			67.615	2.358	2.42	1.026293469
vcopy	1.995s					1.995	1.372	1.326	0.9664723032
vfill									#DIV/0!
vmul	2.163s	2.480s	1m16.346s			80.989	1.986	2.302	1.159113797
vneg	2.007s	2.230s	1m3.800s			68.037	1.473	1.443	0.9796334012
voffset	2.138s	2.133s	2m34.054s			158.325	1.622	1.464	0.9025893958
vrecip	2.022s	2.307s	1m11.612s			75.941	1.57	1.642	1.045859873
vscal	2.172s	2.238s	2m25.249s			159.659	1.604	2.182	1.360349127
vsub	2.108s	2.311s	1m40.120s			104.539	2.377	2.319	0.9755994952
wvec	2.229s	2.322s	2m29.792s	6m48.139s	timeout	timeout	2.245	3.094	1.378173719
average							5.714416667		0
median							2.1155

dspstone									#DIV/0!
mat1x3	23.519s	1m53.473s	timeout			timeout	7.418	134.706	18.15934214
matrix1									#DIV/0!
matrix2									#DIV/0!
n_real_updates	2.232s	1.874s	1m25.236s	3m0.749s	timeout	timeout	2.793	3.526	1.262441819
pin_down
average							5.1055
median							5.1055
matrix benchmarks speedup


makespeare
sum_of_squares	2.444s	2.793s	timeout			timeout	1.597	1.718	1.075767063
average							1.597		0
median							1.597

mathfu									#DIV/0!
diveq_sca	2.079s	1.970s	1m45.126s			109.175	1.938	2.044	1.054695562


diveq	1.708s	2.412s	1635.22s			1639.34	2.409	3.115	1.293067663
len_sq	2.510s	2.883s	timeout			timeout	1.975	1.684	0.8526582278
len	2.548s	2.798s	timeout			timeout	1.487	1.635	1.099529254
matmul_sca	12.322s	35.566s	timeout			timeout	5.347	69.538	13.00504956
muleq_sca	2.067s	2.117s	1m59.564s			123.748	1.6	1.625	0.3039087339
muleq	1.994s	1.936s	1m6.170s			70.1	1.908	2.301	1.205974843
negate	1.613s	1.832s	50.802s			54.247	1.502	1.389	0.9247669774
pluseq	1.696s	1.966s	50.584s			54.246	1.879	2.017	1.073443321
subeq_sca	1.696s	1.741s	1m20.592s			84.029	1.573	1.419	0.9020979021
subeq	1.692s	2.004s	1m20.248s			3.696	2.002	2.087	1.042457542
average							2.147272727		0
median							1.908

simpl_array									#DIV/0!
array_inc	1.677s	1.672s	1m36.944s			100.293	1.484	1.379	0.929245283
array_sum	2.590s					2.59	1.566	1.632	1.042145594
cube_in_place	1.595s	1.719s	1m5.160s	1m6.113s	timeout	timeout	1.664	1.706	1.025240385
fourth_in_place	1.726s	1.676s	38.239s	1m2.467s	timeout	timeout	2.31	2.306	0.9982683983


sum_elts	2.431s					2.431	1.386	1.647	1.188311688
average							1.682		0
median							1.566

utdsp									#DIV/0!
dct									#DIV/0!
fir_small	2.604s	5.249s	timeout			timeout	2.081	3.681	1.768861124
histogram_f									#DIV/0!
lmsfir1	2.580s	4.914s	timeout			timeout	2.039	3.525	1.728788622
lmsfir2	1.780s	2.619s	30.061s	2m44.032s	timeout	timeout	2.052	2.76	1.34502924
mult_big
average							2.057333333
median
